doctor_id,doctor_name,specialization,department,experience_yrs,qualification
1,Dr. Vamakshi Bail,General Cardiology,Cardiology,11,MS
2,Dr. Girindra Bhatnagar,Electrophysiology,Cardiology,10,MBBS MD
3,Dr. Kala Venkatesh,General Cardiology,Cardiology,16,MBBS
4,Dr. Samesh Oza,Electrophysiology,Cardiology,2,MS
5,Dr. Watika Wagle,Electrophysiology,Cardiology,7,MD
6,Dr. Veer Modi,Electrophysiology,Cardiology,23,MS
7,Dr. Michael Garg,Electrophysiology,Cardiology,12,MBBS MD
8,Dr. Ishaan Sule,Interventional Cardiology,Cardiology,26,MBBS
9,Dr. Maanas Batta,Interventional Cardiology,Cardiology,11,MCh
10,Dr. Qushi Mane,Electrophysiology,Cardiology,26,MCh
11,Dr. Geetika Dyal,Interventional Cardiology,Cardiology,23,MS
12,Dr. Gavin Gill,General Cardiology,Cardiology,23,MD
13,Dr. Gaurika Khanna,Interventional Cardiology,Cardiology,8,MBBS MS
14,Dr. Anvi Nadig,Interventional Cardiology,Cardiology,29,MD
15,Dr. Thomas Lad,Spine Surgery,Orthopedics,18,DM
16,Dr. Hiral Jha,Sports Medicine,Orthopedics,10,MD
17,Dr. Nitara Padmanabhan,Spine Surgery,Orthopedics,29,MBBS MS
18,Dr. Ria Sen,Spine Surgery,Orthopedics,6,MS
19,Dr. Nidhi Dara,Sports Medicine,Orthopedics,13,MBBS MS
20,Dr. Tanmayi Tata,Spine Surgery,Orthopedics,11,DM
21,Dr. Vasudha Nagarajan,Spine Surgery,Orthopedics,2,MBBS MS
22,Dr. Aahana Tripathi,Joint Replacement,Orthopedics,15,MS
23,Dr. Manbir Som,Spine Surgery,Orthopedics,26,MS
24,Dr. Ethan Sathe,Sports Medicine,Orthopedics,8,MD
25,Dr. Dayita Srinivas,Spine Surgery,Orthopedics,28,MS
26,Dr. Ekaraj Dada,Spine Surgery,Orthopedics,15,MBBS MS
27,Dr. Amaira Ratti,Spine Surgery,Orthopedics,19,MCh
28,Dr. Udant Parikh,Joint Replacement,Orthopedics,21,MCh
29,Dr. Omisha Bhakta,Epilepsy,Neurology,4,MD
30,Dr. Indrajit Mall,Stroke,Neurology,25,DM
31,Dr. Alka Chacko,Epilepsy,Neurology,26,MBBS MD
32,Dr. Chameli Vala,General Neurology,Neurology,24,DM
33,Dr. Gunbir Swaminathan,Stroke,Neurology,21,MCh
34,Dr. Yashodhara Bhalla,Epilepsy,Neurology,5,MBBS
35,Dr. Sneha Divan,Stroke,Neurology,19,MS
36,Dr. Reva Raju,Stroke,Neurology,5,DM
37,Dr. Abeer Mane,General Neurology,Neurology,4,MS
38,Dr. Pushti Morar,Epilepsy,Neurology,29,MD
39,Dr. Chameli Kale,General Neurology,Neurology,8,MCh
40,Dr. Sarthak Savant,Stroke,Neurology,9,MS
41,Dr. Gautami Samra,General Neurology,Neurology,18,MBBS MS
42,Dr. Ekaraj Chadha,Neonatology,Pediatrics,26,MBBS MS
43,Dr. Hemang Mitter,General Pediatrics,Pediatrics,24,MBBS MD
44,Dr. Zaitra Nayak,Pediatric Surgery,Pediatrics,30,MBBS MS
45,Dr. Riya Chakrabarti,General Pediatrics,Pediatrics,30,MD
46,Dr. Samarth Mahajan,Pediatric Surgery,Pediatrics,16,MD
47,Dr. Harita Shere,Pediatric Surgery,Pediatrics,12,MD
48,Dr. Irya Grewal,Pediatric Surgery,Pediatrics,21,MBBS MD
49,Dr. Maanav Swaminathan,Neonatology,Pediatrics,5,MBBS MD
50,Dr. Nidhi Modi,Pediatric Surgery,Pediatrics,14,MBBS MS
51,Dr. Vedika Kapur,Neonatology,Pediatrics,28,MCh
52,Dr. Aarav Dube,General Pediatrics,Pediatrics,13,MBBS
